ID,Title,Organization Name,City2,Province2,Date(s),Topics,Summary,Source Link,Image,Image Source Link
31,Edmonton Pride Dates and Locations 1997,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 21 - ?, 1997","[""Festival Dates""]","<span style=""color&#58;black;"">​<span>Dates&#58; June 21 - ? <br></span><div>Location&#58; Old Strathcona</div></span>","""https://www.proquest.com/canadiannews/docview/252478140/F8C120B2EF964CD8PQ/124 ; https://www.proquest.com/canadiannews/docview/252467773/F8C120B2EF964CD8PQ/123"", ""https://www.proquest.com/canadiannews/docview/252478140/F8C120B2EF964CD8PQ/124 ; https://www.proquest.com/canadiannews/docview/252467773/F8C120B2EF964CD8PQ/123""",,
32,Edmonton Pride Guides and Themes 1998,"[""Edmonton Pride Festival""]",Edmonton,AB,1998,"[""Pride Theme"",""Pride Guide""]","<span style=""color&#58;black;"">​See link</span><br>","""https://scc-csc.lexum.com/scc-csc/scc-csc/en/item/1607/index.do?q=employment+discrimination"", ""https://scc-csc.lexum.com/scc-csc/scc-csc/en/item/1607/index.do?q=employment+discrimination""",,
33,Edmonton Pride Headliner 1999,"[""Edmonton Pride Festival""]",Edmonton,AB,Jun-99,"[""Artist/Performance Lineup""]","<span style=""color&#58;black;"">​Edmonton Vocal Minority – described as kicking off Pride Week at U of A Convocation Hall. Several pride-related events are listed in the 1999 calendar of events.</span><br>","""https://web.archive.org/web/19990420005233/http:/freenet.edmonton.ab.ca/glcce/comindex.htm"", ""https://web.archive.org/web/19990420005233/http:/freenet.edmonton.ab.ca/glcce/comindex.htm""",,
34,Edmonton Pride Festival Society 1999,"[""Edmonton Pride Festival""]",Edmonton,AB,1999,"[""Leadership Appointment""]","<span style=""color&#58;black;"">​The society was formed in 1999 as the official non-profit organization charged with managing the Pride Festival events</span><br>","""https://pridecentreofedmonton.ca/about/our-history/gay-and-lesbian-archives-of-edmonton/"", ""https://pridecentreofedmonton.ca/about/our-history/gay-and-lesbian-archives-of-edmonton/""",,
35,Edmonton Pride Dates and Locations 1999,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 11/12 – 19, 1999","[""Festival Dates""]","<span style=""color&#58;black;"">​</span><span style=""color&#58;black;""><span>Dates&#58; June 11/12 - 19 <br></span></span></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><span style=""color&#58;black;""><div>Location&#58; City Hall/Downtown&#160;</div></span>","""https://www.proquest.com/canadiannews/docview/252631616/890A7F4EE2574B97PQ/50; https://web.archive.org/web/19990203105825/http://freenet.edmonton.ab.ca/glcce/comindex.htm "", ""https://www.proquest.com/canadiannews/docview/252631616/890A7F4EE2574B97PQ/50; https://web.archive.org/web/19990203105825/http://freenet.edmonton.ab.ca/glcce/comindex.htm """,,
36,Edmonton Parade Route 2000,"[""Edmonton Parade Festival""]",Edmonton,AB,10-Jun-00,"[""Parade Route Change""]","<span style=""color&#58;black;"">​&#160;Starting at Grant Notley Park at 5&#58;30 PM. &#160;Parade proceeds west on 100 Avenue and crosses Jasper Avenue going north on 121 Street. &#160;Parade turns east off 121 Street on to 103 Avenue and ends three blocks at the Oliver Pool and Park on 103 Avenue. </span><br>","""https://web.archive.org/web/20010522144951/http://edmc.net/glcce/pride_2000.htm"", ""https://web.archive.org/web/20010522144951/http://edmc.net/glcce/pride_2000.htm""",,
37,Edmonton Pride Headliner 2000,"[""Edmonton Pride Festival""]",Edmonton,AB,Jun-00,"[""Artist/Performance Lineup""]","<span style=""color&#58;black;"">​Various events listed in 2000 calendar of events. &#160;Performers not identified.</span><br>","""https://web.archive.org/web/20010522144951/http:/edmc.net/glcce/pride_2000.htm"", ""https://web.archive.org/web/20010522144951/http:/edmc.net/glcce/pride_2000.htm""",,
38,Edmonton Pride Dates and Locations 2000,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 10 – 17, 2000","[""Festival Dates""]","<span style=""color&#58;black;"">​<span>Dates&#58; June 10 - 17 <br></span><div>Location&#58; City Hall/Downtown&#160;</div></span>","""https://web.archive.org/web/20010522144951/http://edmc.net/glcce/pride_2000.htm "", ""https://web.archive.org/web/20010522144951/http://edmc.net/glcce/pride_2000.htm """,,
39,Edmonton Pride Dates and Locations 1991,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 19-29, 1991","[""Festival Dates""]","<span style=""font-size&#58;11pt;line-height&#58;22.6625px;font-family&#58;Calibri, &quot;Calibri_EmbeddedFont&quot;, &quot;Calibri_MSFontService&quot;, sans-serif;"" lang=""EN-CA""><span>Dates&#58; June 19-29</span></span><span style=""font-size&#58;11pt;line-height&#58;22.6625px;font-family&#58;Calibri, &quot;Calibri_EmbeddedFont&quot;, &quot;Calibri_MSFontService&quot;, sans-serif;"" lang=""EN-CA""></span><span style=""color&#58;black;""><div spellcheck=""false"" style=""overflow&#58;hidden;"" tabindex=""0""><div><p style=""font-weight&#58;normal;color&#58;windowtext;text-align&#58;left;""><span style=""font-size&#58;11pt;line-height&#58;22.6625px;font-family&#58;Calibri, &quot;Calibri_EmbeddedFont&quot;, &quot;Calibri_MSFontService&quot;, sans-serif;"" lang=""EN-CA""><span>Location&#58; No information found</span></span><span style=""font-size&#58;11pt;line-height&#58;22.6625px;font-family&#58;Calibri, &quot;Calibri_EmbeddedFont&quot;, &quot;Calibri_MSFontService&quot;, sans-serif;""> <br></span></p></div></div></span>","""https://library.usask.ca/srsd/perceptions/965.html"", ""USask Perceptions index: Pride '91, Edmonton's Gay and Lesbian Festival June 19-29, 1991 [display advertisement]. P65 (v9n4)(June 12, 1991): [2] (19cm.)""",,
40,Peace River Pride Parade 2019,"["" Peace River Pride Society""]",Peace River,AB,9-Jun-19,"[""Festival Dates""]","<span style=""color&#58;black;"">​<div dir=""auto"" style=""font-family&#58;&quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif;color&#58;rgb(5, 5, 5);font-size&#58;15px;background-color&#58;rgb(255, 255, 255);"">Peace Pride 2019 was a huge success with more than 150 people taking part in the parade.</div></span>","""https://www.facebook.com/prpridesociety/posts/598510237311674"", ""https://www.facebook.com/prpridesociety/posts/598510237311674""",9.jpg,https://www.facebook.com/prpridesociety/photos/pcb.598510237311674/598508607311837
41,Peace River Pride Parade 2018,"[""Peace River Pride Society""]",Peace River,AB,July 21 2018,"[""Festival Dates""]","<span style=""color&#58;black;"">​<div style=""margin&#58;0.5em 0px 0px;font-family&#58;&quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif;color&#58;rgb(5, 5, 5);font-size&#58;15px;background-color&#58;rgb(255, 255, 255);"">The parade starts at noon starting at 98 Avenue and Main Street. The goes south down Main Street, west on 101 Avenue, north on 99 Street, then west on 100 Avenue, finishing at Riverfront Park.</div><div style=""margin&#58;0.5em 0px 0px;font-family&#58;&quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif;color&#58;rgb(5, 5, 5);font-size&#58;15px;background-color&#58;rgb(255, 255, 255);"">Once at Riverfront Park join us for a free BBQ and some live music.</div></span><br>","""https://www.facebook.com/groups/PeaceRegionLGBTQ2plus/posts/2052533571625955/"", ""https://www.facebook.com/groups/PeaceRegionLGBTQ2plus/posts/2052533571625955/""",8.jpg,https://www.facebook.com/prpridesociety/photos/a.347876419041725/382681045561262
42,Edmonton Pride Awards 1993,"[""Edmonton Pride Festival""]",Edmonton,AB,Jun-93,"[""Proclamation/Award/Accolade""]","<span style=""color&#58;rgb(0, 0, 0);"">​</span>​Maureen Irwin<p>Michael Phair</p><div style=""margin-top&#58;14.6667px;margin-bottom&#58;14.6667px;""><span>Assumed based on the following&#58; “Anne Erskine won the Irwin award and George Davison won the Phair award. They're named for their first recipients in 1993, activist Maureen Irwin and Ald. Michael Phair.” <p><br></p><br></span><div>Counsellor, lawyer honored by Gay Pride; ARCHIVES&#58; [FINAL Edition] LINDORES, SHARON. Edmonton Journal; Edmonton, Alta. [Edmonton, Alta].&#160;17 June 1995&#58; B.2. <br></div><span></span></div>","""https://www.proquest.com/canadiannews/docview/252174387/C694CBFFC16A439EPQ/1?accountid=14369"", ""https://www.proquest.com/canadiannews/docview/252174387/C694CBFFC16A439EPQ/1?accountid=14369""",,
